"Capacity" "Availability"
"1" 21 0.955
"2" 22 0.955
"3" 19 0.955
"4" 24 0.955
"5" 258 0.938
"6" 444 0.938
"7" 90 0.938
"8" 90 0.938
"9" 90 0.938
"10" 101 0.938
"11" 247 0.938
"12" 247 0.938
"13" 170 0.938
"14" 170 0.938
"15" 170 0.938
"16" 58 0.976
"17" 58 0.976
"18" 412 0.938
"19" 58 0.976
"20" 12.084 0.938
"21" 415 0.938
"22" 117.6 0.921
"23" 58 0.976
"24" 58 0.976
"25" 10 0.955
"26" 10 0.955
"27" 22.5 0.955
"28" 22.5 0.955
"29" 464 0.938
"30" 404 0.938
"31" 343 0.938
"32" 17 0.933
"33" 238 0.909
"34" 238 0.909
"35" 29 0.976
"36" 29 0.976
"37" 42 0.976
"38" 42 0.976
"39" 15 0.955
"40" 4 0.955
"41" 8 0.955
"42" 15 0.955
"43" 15 0.955
"44" 4 0.955
"45" 4 0.955
"46" 93 0.921
"47" 285 0.909
"48" 285 0.909
"49" 285 0.909
"50" 95 0.938
"51" 109 0.938
"52" 512 0.938
"53" 52 0.976
"54" 52 0.976
"55" 83 0.938
"56" 83 0.938
"57" 54 0.98
"58" 54 0.98
"59" 243 0.98
"60" 243 0.98
"61" 73 0.94
"62" 73 0.94
"63" 73 0.94
"64" 73 0.94
"65" 52 0.976
"66" 52 0.976
"67" 404 0.938
"68" 445 0.938
"69" 140 0.921
"70" 18.2 0.933
"71" 72 0.976
"72" 68.197 0.933
"73" 42.5 0.939
