"Date" "Time" "GBdem_r" "Idem_r" "GBwind_r" "Iwind_r"
"1" "2007-11-04" "00:00:00" 28372.7202573247 4759.07755372842 700.875 56.808
"2" "2007-11-04" "01:00:00" 27053.9398542298 4366.75539076114 656.505 64.755
"3" "2007-11-04" "02:00:00" 25711.9838577044 4083.87864730036 627.435 79.368
"4" "2007-11-04" "03:00:00" 24390.5293476752 3916.95185913469 670.125 93.27
"5" "2007-11-04" "04:00:00" 23664.954999504 3826.08433022614 696.885 108.726
"6" "2007-11-04" "05:00:00" 23773.2563303428 3765.91486600557 656.175 130.656
"7" "2007-11-04" "06:00:00" 24897.2726117235 3845.70428424399 594.225 158.631
"8" "2007-11-04" "07:00:00" 25724.9087078868 3945.91961697587 548.88 187.179
"9" "2007-11-04" "08:00:00" 28247.037231413 4196.08974860489 537.555 215.907
"10" "2007-11-04" "09:00:00" 31282.5942863232 4787.18049256963 546.72 231.465
"11" "2007-11-04" "10:00:00" 33058.646975182 5258.93758493543 593.19 240.918
"12" "2007-11-04" "11:00:00" 34160.3790321102 5562.6997406878 712.95 267.375
"13" "2007-11-04" "12:00:00" 34651.0776545527 5834.93646817681 864.75 301.935
"14" "2007-11-04" "13:00:00" 34121.1587970739 5799.04547640781 1011.405 330.585
"15" "2007-11-04" "14:00:00" 33680.8225218938 5575.71683842747 1138.755 348.528
"16" "2007-11-04" "15:00:00" 33909.0129802867 5510.87681652958 1271.46 345.414
"17" "2007-11-04" "16:00:00" 37372.8728291727 5838.62582749919 1460.115 333.48
"18" "2007-11-04" "17:00:00" 41600.1902077989 6652.25597014035 1632.195 336.297
"19" "2007-11-04" "18:00:00" 40418.2349428419 6723.40121146028 1784.865 357.765
"20" "2007-11-04" "19:00:00" 38883.2975625585 6454.14018368578 1945.5 390.129
"21" "2007-11-04" "20:00:00" 37116.1585634807 6149.55534628611 2114.655 425.838
"22" "2007-11-04" "21:00:00" 34882.833588858 5818.47414022149 2386.305 486.717
