"Date" "Time" "Idem" "Iwind" "GBdem" "GBwind"
"1" 2007-11-04 00:00:00 3557.6735 0.018936 31830.5 0.046725
"2" 2007-11-04 01:00:00 3264.391 0.021585 30351 0.043767
"3" 2007-11-04 02:00:00 3052.925 0.026456 28845.5 0.041829
"4" 2007-11-04 03:00:00 2928.138 0.03109 27363 0.044675
"5" 2007-11-04 04:00:00 2860.2095 0.036242 26549 0.046459
"6" 2007-11-04 05:00:00 2815.2295 0.043552 26670.5 0.043745
"7" 2007-11-04 06:00:00 2874.8765 0.052877 27931.5 0.039615
"8" 2007-11-04 07:00:00 2949.793 0.062393 28860 0.036592
"9" 2007-11-04 08:00:00 3136.809 0.071969 31689.5 0.035837
"10" 2007-11-04 09:00:00 3578.682 0.077155 35095 0.036448
"11" 2007-11-04 10:00:00 3931.3465 0.080306 37087.5 0.039546
"12" 2007-11-04 11:00:00 4158.4255 0.089125 38323.5 0.04753
"13" 2007-11-04 12:00:00 4361.9375 0.100645 38874 0.05765
"14" 2007-11-04 13:00:00 4335.107 0.110195 38279.5 0.067427
"15" 2007-11-04 14:00:00 4168.1565 0.116176 37785.5 0.075917
"16" 2007-11-04 15:00:00 4119.685 0.115138 38041.5 0.084764
"17" 2007-11-04 16:00:00 4364.6955 0.11116 41927.5 0.097341
"18" 2007-11-04 17:00:00 4972.929 0.112099 46670 0.108813
"19" 2007-11-04 18:00:00 5026.114 0.119255 45344 0.118991
"20" 2007-11-04 19:00:00 4824.8265 0.130043 43622 0.1297
"21" 2007-11-04 20:00:00 4597.1325 0.141946 41639.5 0.140977
"22" 2007-11-04 21:00:00 4349.631 0.162239 39134 0.159087
"23" 2007-11-04 22:00:00 3960.6125 0.185242 35614.5 0.18167
"24" 2007-11-04 23:00:00 3677.805 0.207625 32194 0.207631
"25" 2007-11-05 00:00:00 3281.0565 0.229555 31345 0.237903
"26" 2007-11-05 01:00:00 3007.34 0.249043 30560 0.272448
"27" 2007-11-05 02:00:00 2843.339 0.263905 29555.5 0.311057
"28" 2007-11-05 03:00:00 2793.128 0.285319 28465.5 0.349446
"29" 2007-11-05 04:00:00 2759.5535 0.312589 27902 0.390187
"30" 2007-11-05 05:00:00 2829.7035 0.33511 29310 0.42323
"31" 2007-11-05 06:00:00 3248.6025 0.353297 35253.5 0.445893
"32" 2007-11-05 07:00:00 4113.137 0.368472 42094 0.463775
"33" 2007-11-05 08:00:00 4594.9125 0.375863 44362.5 0.479584
"34" 2007-11-05 09:00:00 4855.0865 0.366799 45682.5 0.493381
"35" 2007-11-05 10:00:00 4909.6685 0.352327 46377 0.509506
"36" 2007-11-05 11:00:00 4958.121 0.355509 46851.5 0.533708
"37" 2007-11-05 12:00:00 5005.2935 0.371204 47006 0.55925
"38" 2007-11-05 13:00:00 4886.9975 0.382935 46883.5 0.581899
"39" 2007-11-05 14:00:00 4873.8425 0.393798 46687.5 0.600109
"40" 2007-11-05 15:00:00 4907.342 0.393387 46801.5 0.616877
"41" 2007-11-05 16:00:00 5105.667 0.383047 50668.5 0.629387
